AMRE,B,0
AMRE,D,0
AMRE,F,7
AMRE,G,0
AMRE,L,2
AMRE,OF,3
AMRE,OL,9
AMRE,S,2
AMRE,SW,1
AMRE,T,1
AMRE,UF,1
AMRE,UL,10
AMRE,W,0
AMRE,Y,0
BAWW,B,0
BAWW,D,0
BAWW,F,1
BAWW,G,0
BAWW,L,0
BAWW,OF,3
BAWW,OL,1
BAWW,S,0
BAWW,SW,0
BAWW,T,19
BAWW,UF,0
BAWW,UL,0
BAWW,W,0
BAWW,Y,0
BBTO,B,1
BBTO,D,0
BBTO,F,6
BBTO,G,0
BBTO,L,0
BBTO,OF,7
BBTO,OL,18
BBTO,S,0
BBTO,SW,0
BBTO,T,0
BBTO,UF,0
BBTO,UL,2
BBTO,W,0
BBTO,Y,0
BWVI,B,3
BWVI,D,0
BWVI,F,0
BWVI,G,0
BWVI,L,0
BWVI,OF,4
BWVI,OL,15
BWVI,S,1
BWVI,SW,0
BWVI,T,0
BWVI,UF,0
BWVI,UL,6
BWVI,W,0
BWVI,Y,19
CMWA,F,13
CMWA,G,0
CMWA,L,7
CMWA,OF,18
CMWA,OL,36
CMWA,OL,3
CMWA,S,1
CMWA,SW,1
CMWA,T,0
CMWA,UF,4
CMWA,UL,22
CMWA,UL,1
CMWA,W,18
CMWA,Y,0
NOPA,B,0
NOPA,D,0
NOPA,F,9
NOPA,G,0
NOPA,L,4
NOPA,OF,6
NOPA,OL,32
NOPA,S,2
NOPA,SW,7
NOPA,T,0
NOPA,UF,4
NOPA,UL,26
NOPA,W,0
NOPA,Y,0
OVEN,B,0
OVEN,D,10
OVEN,F,0
OVEN,G,14
OVEN,L,0
OVEN,OF,0
OVEN,OL,0
OVEN,S,0
OVEN,SW,0
OVEN,T,0
OVEN,UF,0
OVEN,UL,0
OVEN,W,0
OVEN,Y,0
PAWA,B,0
PAWA,D,0
PAWA,F,3
PAWA,G,23
PAWA,L,0
PAWA,OF,2
PAWA,OL,7
PAWA,S,0
PAWA,SW,0
PAWA,T,1
PAWA,UF,0
PAWA,UL,3
PAWA,W,0
PAWA,Y,0
PRAW,B,0
PRAW,D,0
PRAW,F,17
PRAW,G,2
PRAW,L,3
PRAW,OF,14
PRAW,OL,25
PRAW,S,0
PRAW,SW,0
PRAW,T,0
PRAW,UF,4
PRAW,UL,9
PRAW,W,0
PRAW,Y,0
YRWA,B,4
YRWA,D,1
YRWA,F,1
YRWA,F,12
YRWA,G,55
YRWA,L,8
YRWA,OF,14
YRWA,OL,33
YRWA,SW,5
YRWA,T,2
YRWA,UF,4
YRWA,UL,11
YRWA,W,2
YRWA,Y,0
